매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,시간대1,시간대2,시간대3,시간대4,시간대5,분기_1,분기_2,분기_3,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구
111115.7399,2020,골목상권,2110981,국악고교사거리,1,0,0,0,0,1,0,0,2105,876,361,147995,0,0,0,0,67409,495,0,0,75600.8,73144.5,543,2861.4802459768034,0.5933925736919403,1.3351332908068656,1.0384370039608954,0.17149643705463183
107218.8132,2020,골목상권,2110983,국립국악고등학교,1,0,0,0,0,1,0,0,2836,1257,783,142178,1,0,0,0,56041,0,0,0,76496.4,73060.0,602,2861.3958627459597,0.0,0.535322353277065,0.7137631377027533,0.27609308885754585
68735.03755,2020,골목상권,2110984,포이초등학교(개포목련어린이공원),1,0,0,0,0,1,0,0,4522,1948,1556,326912,0,0,0,1,137097,199,0,0,138894.4,135025.0,1079,2861.6481110221043,0.07294105633237781,0.8752926759885337,1.0211747886532894,0.3440955329500221
198378.8095,2020,골목상권,2110985,청담근린공원,1,0,0,0,0,1,0,0,980,472,1338,69924,0,0,0,0,43265,0,0,0,47036.8,41559.5,239,2861.7092144016965,0.0,0.6934011325551832,0.23113371085172774,1.3653061224489795
52457.19414,2020,골목상권,2110988,청담역 3번,1,0,0,0,0,1,0,0,1340,480,1594,36951,0,0,0,0,79185,0,30923,1,28663.2,27452.5,345,2862.006176574364,0.0,0.37885963250615645,0.6314327208435941,1.18955223880597
86405.76557,2020,골목상권,2110989,대치동아우편취급국,1,0,0,0,0,1,0,0,1575,908,444,133641,2,0,0,3,40587,0,0,0,96225.0,75905.0,671,2862.3886791479363,0.0,2.2174587922241114,1.7246901717298642,0.2819047619047619
78996.98535,2020,골목상권,2110992,도곡초등학교,1,0,0,0,0,1,0,0,8040,3724,2179,519625,2,0,0,1,138866,0,0,0,259506.8,275067.0,1927,2861.757591097582,0.0,1.2962136160039175,0.5760949404461855,0.27101990049751246
47709.76923,2020,골목상권,2110994,개포고등학교,1,0,0,0,0,1,0,0,1706,744,494,196928,1,0,0,4,61589,0,0,0,83572.4,84549.0,321,2860.287906760539,0.0,0.9741999383006705,2.7602331585185667,0.2895662368112544
35593.65568,2020,골목상권,2110995,봉은사역 4번,1,0,0,0,0,1,0,0,2888,1115,5085,148306,0,0,0,0,122756,0,0,0,81447.0,76941.5,893,2860.5226100550226,0.0814624132425299,0.2443872397275897,0.5702368926977093,1.7607340720221607
52810.58608,2020,골목상권,2110996,대치2동주민센터,1,0,0,0,0,1,0,0,1545,729,1959,156870,1,0,0,0,112840,3,0,0,107049.8,98040.0,727,2860.1707444758786,0.08862105636299185,0.26586316908897556,0.3544842254519674,1.2679611650485436
