매출,기준_년_코드,상권_구분_코드_명,상권_코드,상권_코드_명,총 상주인구 수,총 가구 수,총_직장인구_수,시간대_생활인구_수,관공서_수,은행_수,백화점_수,숙박_시설_수,area,시간대_버스_승하차승객수,시간대_지하철_승하차승객수,지하철역_수,평일_생활인구_평균,주말_생활인구_평균,상권내_총_아파트_세대_수,배후지_총_아파트_세대_수,면적당_버스정류장_수,면적당_점포_수,면적당_집객시설_수,직장인구/상주인구,시간대_디코딩,분기_디코딩
37018.18681,2020,골목상권,2110994,개포고등학교,1706,744,494,194130,1,0,0,4,61589,0,0,0,88556.2,86335.0,321,2862.308674594125,0.0,0.9741999383006704,2.7602331585185667,0.2895662368112544,1,2
43051.22344,2020,골목상권,2110995,봉은사역 4번,2888,1115,5085,156621,0,0,0,0,122756,1,0,0,85648.2,86189.5,893,2862.5441217722155,0.0814624132425299,0.2443872397275897,0.5702368926977093,1.7607340720221607,1,2
49571.69963,2020,골목상권,2110996,대치2동주민센터,1545,729,1959,161196,1,0,0,0,112840,0,0,0,106971.2,102566.0,727,2862.1932446884057,0.0886210563629918,0.2658631690889755,0.3544842254519674,1.2679611650485436,1,2
198618.1424,2020,골목상권,2110997,대청초등학교,7401,3439,1724,888592,0,2,0,6,236963,8370,0,0,387679.2,372152.5,739,2861.3561739864854,0.5486088545469123,0.9706156657368452,2.1522347370686563,0.2329414943926496,1,2
222434.5733,2020,골목상권,2110999,윗방죽마을공원,3125,2339,268,22007,0,1,0,0,239796,2608,0,0,12023.4,13420.0,17,2861.1355809727347,0.1668084538524412,0.2502126807786619,0.1668084538524412,0.08576,1,2
0.0,2020,골목상권,2111000,대왕초등학교(세곡동사거리서남측),458,199,39,3589,0,0,0,0,52892,637,0,0,9000.4,8607.0,0,2861.3751209898,0.1890645088104061,0.5671935264312183,0.9453225440520304,0.0851528384279476,1,2
0.0,2020,골목상권,2111002,한국교통안전공단 강남자동차검사소,317,0,317,0,0,0,0,0,59240,505,0,0,30.0,102.0,0,2862.191603755726,0.1688048615800134,0.5064145847400405,0.5064145847400405,1.0,1,2
176096.4475,2020,골목상권,2110949,한남IC,618,300,1683,68563,0,0,0,0,62126,0,0,0,53751.8,45365.0,112,2862.191603755726,0.0,0.965779222869652,0.3219264076232173,2.7233009708737863,1,3
126471.4457,2020,골목상권,2110951,신사은행나무공원,1039,580,273,132250,0,0,0,1,29000,0,0,0,88243.0,72550.0,161,2862.3894353975898,0.0,1.0344827586206895,0.6896551724137931,0.2627526467757459,1,3
149246.779,2020,골목상권,2110952,논현목련공원,879,583,117,63079,0,0,0,0,21629,0,0,0,31289.2,31007.0,257,2863.109414346548,0.0,1.387026677146424,0.9246844514309492,0.1331058020477815,1,3
